,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,entrytime,exittime,direction,startup_flag
61,29668,776.720190549022,775.4818139202106,3.0,ETHUSDT,0.92,2530.09,2504.7891,2531.53,1685.8289233162805,-1.2383766288114497,1,LONG_EXIT,0,0,2024-01-16 04:00:00,2024-01-16 04:30:00,upper,0
62,29669,775.4818139202106,766.5287239342741,3.0,ETHUSDT,0.92,2539.64,2514.2436,2532.69,1696.7249848693364,-8.953089985936472,1,LONG_EXIT,0,0,2024-01-16 09:00:00,2024-01-16 10:00:00,upper,0
63,29670,766.5287239342741,765.7181791452906,3.0,ETHUSDT,0.9,2552.09,2526.5691,2554.0,1700.3914178508066,-0.8105447889835089,1,LONG_EXIT,0,0,2024-01-16 15:30:00,2024-01-16 16:00:00,upper,0
64,29671,765.7181791452906,762.4533091541109,3.0,ETHUSDT,0.9,2565.82,2540.1618000000003,2565.0,1715.0220231718995,-3.2648699911797427,1,LONG_EXIT,0,0,2024-01-16 17:00:00,2024-01-16 17:30:00,upper,0
65,29672,762.4533091541109,762.4533091541109,3.0,ETHUSDT,0.88,2595.21,2569.2579,0.0,1728.7857850521468,0.0,1,LONG_CANCEL,0,0,2024-01-16 21:30:00,2024-01-16 22:00:00,upper,0
66,29673,762.4533091541109,762.4533091541109,3.0,ETHUSDT,0.89,2582.49,2608.3149,0.0,3439.179111409113,0.0,0,SHORT_CANCEL,0,0,2024-01-17 02:00:00,2024-01-17 02:30:00,upper,0
67,29674,762.4533091541109,759.1718132339025,3.0,ETHUSDT,0.89,2571.04,2596.7504,2571.9,3427.729111409113,-3.2814959202083385,0,SHORT_EXIT,0,0,2024-01-17 04:30:00,2024-01-17 05:00:00,upper,0
68,29675,759.1718132339025,756.4440462502308,3.0,ETHUSDT,0.89,2550.77,2576.2777,2551.02,3403.7720373414636,-2.727766983671733,0,SHORT_EXIT,0,0,2024-01-17 08:30:00,2024-01-17 09:00:00,upper,0
69,29676,756.4440462502308,747.290580897605,3.0,ETHUSDT,0.89,2545.52,2570.9752,2553.0,3395.457130618237,-9.153465352625865,0,SHORT_EXIT,0,0,2024-01-17 12:00:00,2024-01-17 12:30:00,upper,0
70,29677,747.290580897605,748.5645219806427,3.0,ETHUSDT,0.88,2537.45,2562.8244999999997,2533.2,3386.643841929096,1.273941083037685,0,SHORT_EXIT,0,0,2024-01-17 17:00:00,2024-01-17 18:30:00,upper,0
71,29678,748.5645219806427,748.5645219806427,3.0,ETHUSDT,0.89,2525.75,2551.0075,0.0,3366.83373256252,0.0,0,SHORT_CANCEL,0,0,2024-01-18 11:00:00,2024-01-18 11:30:00,upper,0
72,29679,748.5645219806427,748.5645219806427,3.0,ETHUSDT,0.89,2517.19,2542.3619,0.0,3358.27373256252,0.0,0,SHORT_CANCEL,0,0,2024-01-18 12:30:00,2024-01-18 13:00:00,upper,0
73,29680,748.5645219806427,745.8984590581066,3.0,ETHUSDT,0.89,2526.38,2501.1162,2526.16,1685.2962674374803,-2.6660629225360837,1,LONG_EXIT,0,0,2024-01-18 15:00:00,2024-01-18 15:30:00,upper,0
74,29681,745.8984590581066,745.8984590581066,3.0,ETHUSDT,0.89,2502.43,2527.4543,0.0,3340.5181562450634,0.0,0,SHORT_CANCEL,0,0,2024-01-18 17:00:00,2024-01-18 17:30:00,upper,0
75,29682,745.8984590581066,759.6009941432151,3.0,ETHUSDT,0.9,2474.84,2499.5884,2456.88,3303.6160656201187,13.702535085108462,0,SHORT_EXIT,0,0,2024-01-18 18:30:00,2024-01-18 21:00:00,upper,0
76,29683,759.6009941432151,751.0958108625423,3.0,ETHUSDT,0.93,2460.64,2485.2464,2467.09,3277.4152625195857,-8.505183280672759,0,SHORT_EXIT,0,0,2024-01-19 04:30:00,2024-01-19 05:00:00,upper,0
77,29684,751.0958108625423,751.0958108625423,3.0,ETHUSDT,0.91,2471.67,2446.9533,0.0,1646.2899880631403,0.0,1,LONG_CANCEL,0,0,2024-01-19 09:00:00,2024-01-19 09:30:00,upper,0
78,29685,751.0958108625423,751.0958108625423,3.0,ETHUSDT,0.91,2481.25,2456.4375,0.0,1655.8699880631402,0.0,1,LONG_CANCEL,0,0,2024-01-19 10:00:00,2024-01-19 10:30:00,upper,0
79,29686,751.0958108625423,750.4553946866961,3.0,ETHUSDT,0.91,2487.04,2462.1696,2489.06,1661.6599880631402,-0.640416175846247,1,LONG_EXIT,0,0,2024-01-19 11:00:00,2024-01-19 11:30:00,upper,0
80,29687,750.4553946866961,750.4553946866961,3.0,ETHUSDT,0.92,2447.43,2471.9042999999997,0.0,3263.1423855290172,0.0,0,SHORT_CANCEL,0,0,2024-01-19 16:30:00,2024-01-19 17:00:00,upper,0
