close,volume,turnover,rsi,upper,middle,lower,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,up_ratio,dw_ratio,rsi_up_ratio
26657.2,11310.667,300863195.5,64.56,26608.59,26469.46,26330.34,15.31,-3.66,18.98,27.25,18.99,17.74,18.29,3589.0969285714295,722.05,19.7,-51.9,12.8,287.2000000000007,0.3,0.7,0.3898
26972.7,8006.526,215478512.8,71.64,26953.63,26617.65,26281.67,99.97,52.13,47.83,38.27,11.49,28.52,24.84,8051.772857142859,479.59,106.85,448.51,21.01,-77.5,0.48,0.52,0.4048
27054.6,12267.625,330717409,64.89,26967.68,26794.51,26621.33,74.89,75.48,-0.59,32.81,15.24,34.17,33.33,4673.550000000001,26.66,38.38,-232.31,1.23,1720.4000000000015,0.44,0.56,0.3898
29292.7,23045.255,672682110.7,79.58,29270.37,28542.09,27813.8,452.61,465.19,-12.57,42.03,3.83,68.79,60.24,10130.261571428573,919.78,222.38,-1053.27,-2.91,837.2999999999993,0.48,0.52,0.4048
30270.8,11366.61,343141905.7,61.06,30250.79,30055.63,29860.47,63.45,56.32,7.13,22.31,15.1,14.33,20.28,4355.612285714286,514.41,44.59,-23.32,5.99,201.70000000000073,0.48,0.52,0.3898
30883.3,11524.888,356203353.2,64.36,30832.52,30617.12,30401.72,38.25,17.85,20.4,30.4,18.34,13.93,12.57,4203.945071428572,627.58,50.27,53.46,18.91,-271.3,0.3,0.7,0.3898
30624.2,7969.759,242984832.4,59.42,30623.17,30395.96,30168.75,-37.54,-65.5,27.96,29.2,20.19,13.73,12.87,4873.6737142857155,460.78,0.18,-127.49,16.72,-238.4,0.3,0.7,0.3714
30645,13921.08,425697766.4,63.54,30632.76,30362.97,30093.18,27.72,-5.35,33.07,33.35,15.43,12.96,12.84,3070.5285714285724,799.26,46.43,19.1,13.97,66.79999999999927,0.3,0.7,0.3898
30685,14594.496,446707436.3,69.21,30590.42,30284.73,29979.03,32.9,-29.89,62.79,29.35,13.97,23.64,24.49,3453.000214285715,705.42,88.84,235.29,22.32,-299.9,0.3,0.7,0.3898
30733,10223.143,314437443.8,65.24,30689.98,30468.93,30247.88,58.84,46.31,12.52,28.4,14.22,18.08,20.64,4943.624357142858,-285.56,43.99,-230.33,13.58,-614.9,0.44,0.56,0.3898
30559.2,3871.89,118406530.4,57.2,30558,30458.61,30359.23,2.5,-14.2,16.7,25.72,19.46,12.19,16.5,1781.5187142857153,157.09,18.22,-534.03,8.86,17.799999999999272,0.3,0.7,0.3714
30633,12362.579,378549579.1,58.75,30623.28,30534.48,30445.67,13.33,4.11,9.22,26.37,19.71,14.36,12.34,3890.7577857142865,788.18,20.64,14.15,9.48,-35,0.3,0.7,0.3714
31055.7,23359.823,723284633.1377999,76.97,30873.16,30668.61,30464.07,58.96,34.7,24.26,42.72,14.57,14.87,15.64,3691.931285714287,1455.63,54.68,110.49,21.47,198.5,0.44,0.56,0.4048
30788.5,6453.674,198618469.9,64.18,30762.48,30547.05,30331.62,-9.83,-59.04,49.21,25.8,15.65,32.83,38.42,2887.3726428571435,83.25,43.86,-131.65,20.47,-202.1,0.3,0.7,0.3898
30321.1,2191.098,66362371.78,58.61,30314.49,30217.8,30121.12,-1.39,-14.25,12.86,27.53,21.44,10.33,10.02,1488.2522142857154,121.1,15.79,-34.62,9.78,-61.1,0.3,0.7,0.3714
30514.7,8307.163,252874518.5,68.4,30461.49,30235.42,30009.34,42.13,5.14,36.99,26.77,12.82,19.02,20.43,3325.4660714285724,496.9,62.62,193.27,14.61,-226.6,0.45,0.55,0.3898
30905.8,35710.015,1102833982,69.83,30815.93,30513.76,30211.59,49.46,-2.39,51.86,38.45,12.06,20.29,19.28,5903.291357142859,2428.01,75.27,193.03,25.24,544.6000000000022,0.3,0.7,0.3898
30387.8,5209.467,158232328.6,59.7,30383.72,30287.96,30192.2,-14.69,-38.02,23.32,28.53,19.8,24.77,26.39,1945.0183571428588,344.2,13.15,26.73,15.41,-125.8,0.3,0.7,0.3714
30120.4,6773.114,203735656,59.53,30101.94,29966.58,29831.22,11.26,-0.21,11.47,25.39,16.95,11.64,13.51,2458.292142857144,144.72,16.47,4.69,10.96,-360.3,0.3,0.7,0.3714
29964.9,5805.263,174100291.4,57.77,29963.13,29848.63,29734.12,-3.32,-25.62,22.29,26.25,17.91,20.56,24.22,2232.2451428571444,358.11,19.2,6.32,13.83,-94.9,0.3,0.7,0.3714
30101.6,6077.67,182467463.3,72.56,30041.67,29901.26,29760.86,29.24,12.38,16.86,36,14.39,12.37,14.32,1604.6030000000014,387.29,29.63,91.84,20.02,-167.4,0.44,0.56,0.4048
29260,7525.101,219910945,53.05,29259.95,29176.78,29093.61,-64.94,-99.82,34.88,27.44,23.07,38.67,44.61,2096.2383571428586,470.52,-9.17,-66.92,18.54,-98.3,0.3,0.7,0.3714
