start_at,open,high,low,close,volume,turnover,date,upper,midle,lower,macd,macdsignal,macdhist,bb_diff,bb_flag,prev_macd,prev_macdsignal,macdhist_positive,macd_rising,macdsignal_rising,macd_positive,macdsignal_positive
1686016800000.0,25627.3,25777.0,25583.6,25749.9,2211.002,56834547.324,2023-06-06 02:00:00,27092.46,26048.82,25005.19,-336.62,-327.59,-9.02,0.0,,-354.23,-325.34,False,True,False,False,False
1686020400000.0,25749.9,25750.0,25705.4,25719.1,1029.218,26475534.1033,2023-06-06 03:00:00,27024.33,26017.42,25010.51,-321.43,-326.36,4.92,0.0,,-336.62,-327.59,True,True,True,False,False
1686024000000.0,25719.1,25787.0,25711.5,25779.2,1708.833,44015109.8944,2023-06-06 04:00:00,26952.32,25994.73,25037.15,-301.08,-321.31,20.22,0.0,,-321.43,-326.36,True,True,True,False,False
1686027600000.0,25779.2,25799.7,25739.1,25756.0,1898.537,48912141.3775,2023-06-06 05:00:00,26870.76,25972.0,25073.23,-283.56,-313.76,30.19,0.0,,-301.08,-321.31,True,True,True,False,False
1686031200000.0,25756.0,25799.9,25740.0,25755.9,1609.247,41454754.7121,2023-06-06 06:00:00,26788.49,25951.42,25114.34,-266.6,-304.33,37.72,0.0,,-283.56,-313.76,True,True,True,False,False
1686034800000.0,25755.9,25796.9,25687.0,25708.9,2429.354,62552228.4305,2023-06-06 07:00:00,26674.16,25928.32,25182.48,-254.03,-294.27,40.23,0.0,,-266.6,-304.33,True,True,True,False,False
1686038400000.0,25708.9,25730.0,25664.0,25694.2,2088.993,53675258.4144,2023-06-06 08:00:00,26553.03,25906.02,25259.01,-242.46,-283.9,41.44,0.0,,-254.03,-294.27,True,True,True,False,False
1686042000000.0,25694.2,25775.0,25683.4,25741.2,1270.537,32686485.0157,2023-06-06 09:00:00,26388.57,25890.32,25392.08,-226.88,-272.5,45.62,0.0,,-242.46,-283.9,True,True,True,False,False
1686045600000.0,25741.2,25780.0,25727.6,25731.1,1272.906,32785779.9605,2023-06-06 10:00:00,26046.16,25875.16,25704.16,-212.89,-260.58,47.68,0.0,,-226.88,-272.5,True,True,True,False,False
1686049200000.0,25731.1,25739.3,25628.0,25674.8,2575.519,66142303.5478,2023-06-06 11:00:00,25975.99,25856.08,25736.16,-204.0,-249.26,45.26,-123.92000000000189,lower,-212.89,-260.58,True,True,True,False,False
1686052800000.0,25674.8,25733.9,25324.2,25525.5,24740.493,631770807.862,2023-06-06 12:00:00,25958.23,25824.59,25690.95,-206.62,-240.73,34.11,-410.02000000000044,lower,-204.0,-249.26,True,False,True,False,False
1686056400000.0,25525.5,25772.5,25369.0,25724.0,14504.166,371010664.1061,2023-06-06 13:00:00,25946.73,25815.01,25683.3,-190.48,-230.68,40.2,0.0,,-206.62,-240.73,True,True,True,False,False
1686060000000.0,25724.0,26118.0,25723.6,26014.3,27294.643,708257522.8714,2023-06-06 14:00:00,26016.03,25833.99,25651.95,-152.51,-215.05,62.54,0.0,,-190.48,-230.68,True,True,True,False,False
1686063600000.0,26014.3,26140.0,25906.6,26055.0,9319.044,242414296.3519,2023-06-06 15:00:00,26086.74,25855.04,25623.34,-117.77,-195.59,77.82,0.0,,-152.51,-215.05,True,True,True,False,False
1686067200000.0,26055.0,26394.2,26054.9,26358.8,18610.719,487952332.1049,2023-06-06 16:00:00,26256.4,25903.02,25549.63,-64.98,-169.47,104.48,380.90000000000146,upper,-117.77,-195.59,True,True,True,False,False
1686070800000.0,26358.8,26767.0,26275.8,26659.9,32304.599,857645450.0787998,2023-06-06 17:00:00,26495.53,25975.1,25454.66,1.13,-135.35,136.48,217.29999999999927,upper,-64.98,-169.47,True,True,True,True,False
1686074400000.0,26659.9,26773.1,26622.5,26684.1,7169.641,191431397.5571,2023-06-06 18:00:00,26681.55,26042.62,25403.7,54.85,-97.31,152.16,289.3199999999997,upper,1.13,-135.35,True,True,True,True,False
1686078000000.0,26684.1,27213.9,26675.2,27070.2,24536.131,661780737.6754,2023-06-06 19:00:00,26961.78,26140.49,25319.2,127.12,-52.42,179.54,9.779999999998836,upper,54.85,-97.31,True,True,True,True,False
1686081600000.0,27070.2,27207.5,26876.8,26925.5,14182.142,383274465.5178,2023-06-06 20:00:00,27132.86,26215.25,25297.64,170.74,-7.79,178.53,0.0,,127.12,-52.42,True,True,True,True,False
1686085200000.0,26925.5,27085.5,26925.4,27046.3,4456.194,120336131.9287,2023-06-06 21:00:00,27301.53,26294.4,25287.26,212.61,36.29,176.32,0.0,,170.74,-7.79,True,True,True,True,True
