,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi
5988,1695657600.0,26227.5,26419,26201,26314.9,21998.819,578888722.1805,2023-09-25 16:00:00,0.00001864,-0.00059917,61407.07100000
5989,1695672000.0,26314.9,26437,26247,26287.5,9241.882,243404946.6986,2023-09-25 20:00:00,0.00001864,-0.00060233,60703.52300000
5990,1695686400.0,26287.5,26382.5,26222,26339.1,5948.409,156432647.5599,2023-09-26 00:00:00,-0.00005563,-0.00047957,60267.27900000
5991,1695700800.0,26339.1,26351.7,26243.9,26262,5380.205,141475757.4815,2023-09-26 04:00:00,-0.00005563,-0.00038823,60383.15200000
5992,1695715200.0,26262,26320.3,26174,26262.3,10513.103,275815767.788,2023-09-26 08:00:00,0.00001948,-0.00046051,61087.66600000
5993,1695729600.0,26262.3,26299,26075.6,26113.8,20864.578,546095373.62,2023-09-26 12:00:00,0.00001948,-0.00044700,61246.69000000
5994,1695744000.0,26113.8,26285,26103.7,26234.5,11377.648,298108616.9854,2023-09-26 16:00:00,0.00004889,-0.00045462,62404.85900000
5995,1695758400.0,26234.5,26274.5,26081.9,26207.4,10780.041,282190905.0781,2023-09-26 20:00:00,0.00004889,-0.00056631,62579.98100000
5996,1695772800.0,26207.4,26274.5,26188.4,26267.2,4600.973,120703790.1088,2023-09-27 00:00:00,-0.00000291,-0.00050948,61937.94800000
5997,1695787200.0,26267.2,26279.9,26221.4,26234.4,3515.255,92253828.2604,2023-09-27 04:00:00,-0.00000291,-0.00049718,62371.83500000
5998,1695801600.0,26234.4,26829,26207.6,26745.8,42989.61,1140717314.5217,2023-09-27 08:00:00,0.00002315,-0.00087189,62247.58100000
5999,1695816000.0,26745.8,26838.7,26151,26291.7,57484.737,1521296788.1231,2023-09-27 12:00:00,0.00002315,-0.00051084,63408.53600000
6000,1695830400.0,26291.7,26302.4,26087.5,26256.1,19477.149,510565928.3744,2023-09-27 16:00:00,-0.00005203,-0.00035998,61212.09300000
6001,1695844800.0,26256.1,26374.5,26215,26359.5,9077.87,238724204.8386,2023-09-27 20:00:00,-0.00005203,-0.00044782,60305.89100000
6002,1695859200.0,26359.5,26545,26322,26366.5,17145.601,453069821.4179,2023-09-28 00:00:00,0.00005036,-0.00050265,59061.46700000
6003,1695873600.0,26366.5,26498.3,26332,26446,9249.355,244445032.5618,2023-09-28 04:00:00,0.00005036,-0.00043505,58573.02100000
6004,1695888000.0,26446,26618.4,26373.4,26461.8,15560.467,412195648.287,2023-09-28 08:00:00,-0.00000943,-0.00053354,59176.01200000
6005,1695902400.0,26461.8,27069.5,26451,27006.1,52547.35,1406281598.1406,2023-09-28 12:00:00,-0.00000943,-0.00050184,59074.85300000
6006,1695916800.0,27006.1,27312.7,26836.6,27089.6,55500.645,1503462372.0053,2023-09-28 16:00:00,-0.00003652,-0.00048767,61178.87600000
6007,1695931200.0,27089.6,27161,26878,27010.7,16829.873,454646136.748,2023-09-28 20:00:00,-0.00003652,-0.00037987,61775.75000000
6008,1695945600.0,27010.7,27125,26857,26942.2,12323.913,332526664.883,2023-09-29 00:00:00,-0.00002847,-0.00053426,61433.63200000
6009,1695960000.0,26942.2,27238.9,26883.3,27165,14361.102,388806453.1611,2023-09-29 04:00:00,-0.00002847,-0.00034032,60819.31800000
6010,1695974400.0,27165,27165,26944,26957,15146.293,409436096.1204,2023-09-29 08:00:00,0.00001418,-0.00053149,60740.59500000
6011,1695988800.0,26957,27106.6,26641,26875.3,47996.124,1289986666.1457,2023-09-29 12:00:00,0.00001418,-0.00051735,61590.73100000
6012,1696003200.0,26875.3,26949.8,26731.1,26916.4,11246.296,302001839.4585,2023-09-29 16:00:00,0.00002607,-0.00046016,60082.41300000
6013,1696017600.0,26916.4,26978,26853.1,26894.7,4000.495,107608532.075,2023-09-29 20:00:00,0.00002607,-0.00041938,59980.83900000
6014,1696032000.0,26894.7,26930.2,26876.2,26899.9,2750.053,73980408.3269,2023-09-30 00:00:00,0.0001,-0.00052537,59583.97500000
6015,1696046400.0,26899.9,26945,26898,26917.9,2896.335,77978712.9975,2023-09-30 04:00:00,0.0001,-0.00041500,59646.99600000
6016,1696060800.0,26917.9,26985,26912.1,26925.3,4413.48,118912247.7183,2023-09-30 08:00:00,0.00005418,-0.00039371,59602.23200000
6017,1696075200.0,26925.3,27082,26897.7,26985.4,8617.707,232549770.2551,2023-09-30 12:00:00,0.00005418,-0.00044525,60050.90800000
6018,1696089600.0,26985.4,27031.1,26957.5,27011.5,3842.959,103751570.9583,2023-09-30 16:00:00,0.0001,-0.00037893,60065.26000000
6019,1696104000.0,27011.5,27070.9,26930.7,26953.5,4696.471,126810586.8264,2023-09-30 20:00:00,0.0001,-0.00034504,60388.85900000
6020,1696118400.0,26953.5,27039,26942.9,27038,2632.622,71087832.5765,2023-10-01 00:00:00,0.0001,-0.00024639,60334.29500000
6021,1696132800.0,27038,27149,27012.9,27093.4,6703.802,181609929.1736,2023-10-01 04:00:00,0.0001,-0.00057250,60846.53300000
6022,1696147200.0,27093.4,27279.6,27073.7,27179.2,12524.554,340541221.3206,2023-10-01 08:00:00,0.00009189,-0.00053869,61021.05100000
6023,1696161600.0,27179.2,27215.8,27060.3,27137.5,10007.826,271585692.0956,2023-10-01 12:00:00,0.00009189,-0.00049924,61823.76900000
